source,objectid,parentid,filename,identifier,title,date,description,subject,location,format,type,language,creator,displaytemplate,object_location,image_small,image_thumb,image_alt_text,rights,rightsstatement
Fred Nordgaard Barbershop Quartet Scrapbooks Lewiston City Library Special Collection,nordgaard001,,22-2.jpg,22-2,"Snake River Rogues Quartet, July, 1980.",1980-7,"The ""Snake River Rogues"". First organized quartet at Lewiston Crazy Days, July, 1980. Picture taken at Joanne Candies on Main St. Pictured L to R: John Nordgaard; Jerry Hanowell; Tom Moore; Cliff Carrick",Singers; Barbershop quartets,"Joanne Candies, 838 Main St., Lewiston, Idaho in 1980",image/jpeg,Photographs; Color photographs,en,Fred Nordgaard,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8206,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8206&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Fred Nordgaard Barbershop Quartet Scrapbooks, Lewiston City Library Special Collection",nordgaard002,,A-22-3.jpg,A-22-3,"Confluence of Note First Auditions Night, Setember 9, 1980",1980-09-09,"Confluence of Note first auditions for admissions night at the LCSC CUB Cafeteria, September 9, 1980.",Auditions; Barbershop quartets; Singers,Lewis-Clark State College CUB cafeteria,image/jpeg,Photographs; Color Photographs,en,Fred Nordgaard,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8242,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8242&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Fred Nordgaard Barbershop Quartet Scrapbooks, Lewiston City Library Special Collection",nordgaard003,,34-1.jpg,34-1,"The ""Confluence of Note"" First Photograph",1980-11-11,Confluence of Note first photo and first public recognition. Charter night celebration announcement included in article text.,Barbershop quartets; Singers;,"Lewiston, Idaho",image/jpeg,Clippings;,en,Lewiston Tribune,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8207,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8207&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Fred Nordgaard Barbershop Quartet Scrapbooks, Lewiston City Library Special Collection",nordgaard004,,A-54-3.jpg,A-54-3,"The ""Confluence of Note"" Ladies Night Installation Banquet",1980-12-6,"Ladies Night and Installation Banquet, 1981 officers. Fred Nordgaard presenting Jeanne Vallandigham a corsage in appreciation of her help in past shows.","Awards; Banquets; Nordgaard, Fred; Vallandigham, Jeanne;",Lewiston Elks Club,image/jpeg,Unknown,en,Fred Nordgaard,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8244,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8244&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Fred Nordgaard Barbershop Quartet Scrapbooks, Lewiston City Library Special Collection",nordgaard005,,A-54-1.jpg,A-54-1,Confluence of Note Ladies Night Installation Banquet,1980-12-6,"Ladies Night and Installation Banquet, 1981 officers. Fred Nordgaard presenting our ""founding father"" a plaque of recognition.",Awards; Banquets;,Lewiston Elks Club,image/jpeg,Unknown,en,Fred Nordgaard,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8243,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8243&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Fred Nordgaard Barbershop Quartet Scrapbooks, Lewiston City Library Special Collection",nordgaard006,,p4012coll4_5_full.jpg,p4012coll4_5_full,"Charter Night Celebration -- November 22, 1980",1980-11-22,"Charter Night performance, Nov. 22, 1980",Barbershop quartets; Singers; Celebrations; Premiers,Lewiston High School Auditorium,image/jpeg,Photographic prints; Photographs;,en,Fred Nordgaard,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8245,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8245&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Fred Nordgaard Barbershop Quartet Scrapbooks, Lewiston City Library Special Collection",nordgaard007,,46-2.jpg,46-2,"Charter Night Celebration -- November 22, 1980",1980-11-22,"Charter Night performance, Nov. 22, 1980. District President Harry Neuwirth presenting Charter to chapter President Fred Nordgaard.",Barbershop quartets; Celebrations; Premiers; Singers; Singing; Charters,Lewiston High School Auditorium,image/jpeg,Photographic prints; Photographs,en,Fred Nordgaard,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8208,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8208&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Fred Nordgaard Barbershop Quartet Scrapbooks, Lewiston City Library Special Collection",nordgaard008,,p4012coll4_9_full.jpg,p4012coll4_9_full,Official Proclamation of Barbershop Harmony Month,1981-4-13,"Barbershop Harmony Month proclamation from Lewiston Mayor Delitha Kilgore, for April, 1981.","Announcements; Mayors; Barbershop quartets; Kilgore, Delitha",Unknown,image/jpeg,Announcements,en,City of Lewiston,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8246,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8246&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Fred Nordgaard Barbershop Quartet Scrapbooks, Lewiston City Library Special Collection",nordgaard009,,57-1.jpg,57-1,"Charter Night Celebration -- November 22, 1980",1981-1-?,"Evergreen District Bulletin (SPEBSQSA) announcing the charter night celebration of the ""Confluence of Note"" held at the Lewiston High School Auditorium.",Barbershop quartets; SPEBSQSA; Timbre (Newsletter),Unknown,image/jpeg,Announcements;,en,"Evergreen District, SPEBSQSA",image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8211,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8211&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Fred Nordgaard Barbershop Quartet Scrapbooks, Lewiston City Library Special Collection",nordgaard010,,77-1.jpg,77-1,"Brackenbury Square Dedication Celebration -- November, 1983",1983-11-?,Back: Roger Tutty; Martin Riggers; Don Curtis; Dan Zenner; E.L. Stanley; Allen Jones; Front: Jerry Hanowell; Del Collier; Paul Sharrai; Vic Derring; Director: Fred Nordgaard,Dedications; Barbershop quartets,Unknown,image/jpeg,Color photographs,en,Fred Nordgaard,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8220,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8220&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
